dk92,2023-11-10 18:12:13,gdata,901941559296.0,2199023255552.0,2308974417920.0,3366562.0,3500000.0,3675000.0
hr22,2023-11-10 18:12:13,gdata,5537632256.0,137438953472.0,144310900736.0,235815.0,500000.0,525000.0
hd50,2023-11-10 18:12:13,gdata,304359305814016.0,319957883682816.0,335955777866752.0,9915733.0,21614000.0,22694700.0
vx53,2023-11-10 18:12:13,gdata,56951197696.0,1099511627776.0,1154487208960.0,401660.0,1500000.0,1575000.0
hh5,2023-11-10 18:12:26,scratch,2726236160.0,77309411328.0,81174881280.0,1651.0,164000.0,172200.0
ig2,2023-11-10 18:12:26,scratch,4096.0,1049600.0,1101824.0,1.0,1025.0,1076.0
dp9,2023-11-10 18:12:26,scratch,1019186404540416.0,1319413953331200.0,1320513464958976.0,31845674.0,60095000.0,63099750.0
qa11,2023-11-10 18:12:26,scratch,57344.0,1073741824.0,1127428096.0,14.0,1025.0,1076.0
dx2,2023-11-10 18:12:26,scratch,268662363258880.0,296868139499520.0,297967651127296.0,4784066.0,16066000.0,16869300.0
er4,2023-11-10 18:12:26,scratch,16989106274304.0,131941395333120.0,138538465099776.0,1189725.0,7954000.0,8351700.0
er8,2023-11-10 18:12:26,scratch,169023962894336.0,274877906944000.0,288621802291200.0,3615176.0,15022000.0,15773100.0
tp28,2023-11-10 18:12:26,scratch,139852929384448.0,219902325555200.0,221001837182976.0,2922493.0,12369000.0,12987450.0
dk92,2023-11-10 18:12:26,scratch,462848.0,77309411328.0,81174881280.0,113.0,164000.0,172200.0
hr22,2023-11-10 18:12:26,scratch,1961984.0,0.0,0.0,1190.0,0.0,0.0
vp91,2023-11-10 18:12:26,scratch,2367344762880.0,5497558138880.0,5772436045824.0,643288.0,10485760.0,11010048.0
hd50,2023-11-10 18:12:26,scratch,156824641409024.0,219902325555200.0,221001837182976.0,3947772.0,12369000.0,12987450.0
access,2023-11-10 18:12:26,gdata,29481043673088.0,38482906972160.0,40407052320768.0,1708555.0,2806000.0,2946300.0
hh5,2023-11-10 18:12:26,gdata,691784799870976.0,753165465026560.0,790823738277888.0,11219756.0,36476000.0,38299800.0
ig2,2023-11-10 18:12:26,gdata,158667952734208.0,230897441832960.0,242442313924608.0,2248485.0,12905000.0,13550250.0
dp9,2023-11-10 18:12:26,gdata,356151176011776.0,469491465060352.0,492966038312960.0,33156444.0,38500000.0,40425000.0
qa11,2023-11-10 18:12:26,gdata,3377637810176.0,5497558138880.0,5772436045824.0,1071245.0,1500000.0,1575000.0
dx2,2023-11-10 18:12:26,gdata,311546334588928.0,346346162749440.0,363663470886912.0,9757234.0,15022000.0,15773100.0
er4,2023-11-10 18:12:26,gdata,121426704715776.0,241892558110720.0,253987186016256.0,7975382.0,15886000.0,16680300.0
er8,2023-11-10 18:12:26,gdata,164445177561088.0,219902325555200.0,230897441832960.0,17622169.0,20186000.0,21195300.0
tp28,2023-11-10 18:12:26,gdata,1095664296431616.0,1176477441720320.0,1235301313806336.0,23883148.0,58611000.0,61541550.0
dk92,2023-11-10 18:12:26,gdata,901941559296.0,2199023255552.0,2308974417920.0,3366562.0,3500000.0,3675000.0
hr22,2023-11-10 18:12:26,gdata,5537632256.0,137438953472.0,144310900736.0,235815.0,500000.0,525000.0
hd50,2023-11-10 18:12:26,gdata,304359305678848.0,319957883682816.0,335955777866752.0,9915745.0,21614000.0,22694700.0
vx53,2023-11-10 18:12:26,gdata,56951197696.0,1099511627776.0,1154487208960.0,401660.0,1500000.0,1575000.0
hh5,2023-11-10 18:49:29,scratch,2726236160.0,77309411328.0,81174881280.0,1651.0,164000.0,172200.0
ig2,2023-11-10 18:49:29,scratch,4096.0,1049600.0,1101824.0,1.0,1025.0,1076.0
dp9,2023-11-10 18:49:29,scratch,1013689213247488.0,1319413953331200.0,1320513464958976.0,31668470.0,60095000.0,63099750.0
qa11,2023-11-10 18:49:29,scratch,57344.0,1073741824.0,1127428096.0,14.0,1025.0,1076.0
dx2,2023-11-10 18:49:29,scratch,268729124974592.0,296868139499520.0,297967651127296.0,4784077.0,16066000.0,16869300.0
er4,2023-11-10 18:49:29,scratch,16989106274304.0,131941395333120.0,138538465099776.0,1189725.0,7954000.0,8351700.0
er8,2023-11-10 18:49:29,scratch,169690236596224.0,274877906944000.0,288621802291200.0,3616892.0,15022000.0,15773100.0
tp28,2023-11-10 18:49:29,scratch,140055633092608.0,219902325555200.0,221001837182976.0,2922926.0,12369000.0,12987450.0
dk92,2023-11-10 18:49:29,scratch,462848.0,77309411328.0,81174881280.0,113.0,164000.0,172200.0
hr22,2023-11-10 18:49:29,scratch,1961984.0,0.0,0.0,1190.0,0.0,0.0
vp91,2023-11-10 18:49:29,scratch,2367344762880.0,5497558138880.0,5772436045824.0,643288.0,10485760.0,11010048.0
hd50,2023-11-10 18:49:29,scratch,155779076268032.0,219902325555200.0,221001837182976.0,3964260.0,12369000.0,12987450.0
access,2023-11-10 18:49:29,gdata,29481043673088.0,38482906972160.0,40407052320768.0,1708555.0,2806000.0,2946300.0
hh5,2023-11-10 18:49:29,gdata,691784799870976.0,753165465026560.0,790823738277888.0,11219756.0,36476000.0,38299800.0
ig2,2023-11-10 18:49:29,gdata,158676034666496.0,230897441832960.0,242442313924608.0,2248506.0,12905000.0,13550250.0
dp9,2023-11-10 18:49:29,gdata,356168755036160.0,469491465060352.0,492966038312960.0,33156579.0,38500000.0,40425000.0
qa11,2023-11-10 18:49:29,gdata,3377637810176.0,5497558138880.0,5772436045824.0,1071245.0,1500000.0,1575000.0
dx2,2023-11-10 18:49:29,gdata,311551971524608.0,346346162749440.0,363663470886912.0,9757366.0,15022000.0,15773100.0
er4,2023-11-10 18:49:29,gdata,121427698520064.0,241892558110720.0,253987186016256.0,7975493.0,15886000.0,16680300.0
er8,2023-11-10 18:49:29,gdata,164446136770560.0,219902325555200.0,230897441832960.0,17622242.0,20186000.0,21195300.0
tp28,2023-11-10 18:49:29,gdata,1095664283828224.0,1176477441720320.0,1235301313806336.0,23883258.0,58611000.0,61541550.0
dk92,2023-11-10 18:49:29,gdata,901941559296.0,2199023255552.0,2308974417920.0,3366562.0,3500000.0,3675000.0
hr22,2023-11-10 18:49:29,gdata,5537632256.0,137438953472.0,144310900736.0,235815.0,500000.0,525000.0
hd50,2023-11-10 18:49:29,gdata,304361731629056.0,319957883682816.0,335955777866752.0,9910299.0,21614000.0,22694700.0
vx53,2023-11-10 18:49:29,gdata,56955416576.0,1099511627776.0,1154487208960.0,401780.0,1500000.0,1575000.0
hh5,2023-11-10 18:50:16,scratch,2726236160.0,77309411328.0,81174881280.0,1651.0,164000.0,172200.0
ig2,2023-11-10 18:50:16,scratch,4096.0,1049600.0,1101824.0,1.0,1025.0,1076.0
dp9,2023-11-10 18:50:16,scratch,1013728835784704.0,1319413953331200.0,1320513464958976.0,31671055.0,60095000.0,63099750.0
qa11,2023-11-10 18:50:16,scratch,57344.0,1073741824.0,1127428096.0,14.0,1025.0,1076.0
dx2,2023-11-10 18:50:16,scratch,268729234276352.0,296868139499520.0,297967651127296.0,4784077.0,16066000.0,16869300.0
er4,2023-11-10 18:50:16,scratch,16989106274304.0,131941395333120.0,138538465099776.0,1189725.0,7954000.0,8351700.0
er8,2023-11-10 18:50:16,scratch,169698492059648.0,274877906944000.0,288621802291200.0,3616905.0,15022000.0,15773100.0
tp28,2023-11-10 18:50:16,scratch,140057020489728.0,219902325555200.0,221001837182976.0,2922926.0,12369000.0,12987450.0
dk92,2023-11-10 18:50:16,scratch,462848.0,77309411328.0,81174881280.0,113.0,164000.0,172200.0
hr22,2023-11-10 18:50:16,scratch,1961984.0,0.0,0.0,1190.0,0.0,0.0
vp91,2023-11-10 18:50:16,scratch,2367344762880.0,5497558138880.0,5772436045824.0,643288.0,10485760.0,11010048.0
hd50,2023-11-10 18:50:16,scratch,156009337942016.0,219902325555200.0,221001837182976.0,3965168.0,12369000.0,12987450.0
access,2023-11-10 18:50:16,gdata,29481043673088.0,38482906972160.0,40407052320768.0,1708555.0,2806000.0,2946300.0
hh5,2023-11-10 18:50:16,gdata,691784799870976.0,753165465026560.0,790823738277888.0,11219756.0,36476000.0,38299800.0
ig2,2023-11-10 18:50:16,gdata,158677439762432.0,230897441832960.0,242442313924608.0,2248507.0,12905000.0,13550250.0
dp9,2023-11-10 18:50:16,gdata,356168823201792.0,469491465060352.0,492966038312960.0,33156581.0,38500000.0,40425000.0
qa11,2023-11-10 18:50:16,gdata,3377637810176.0,5497558138880.0,5772436045824.0,1071245.0,1500000.0,1575000.0
dx2,2023-11-10 18:50:16,gdata,311551971536896.0,346346162749440.0,363663470886912.0,9757366.0,15022000.0,15773100.0
er4,2023-11-10 18:50:16,gdata,121427698520064.0,241892558110720.0,253987186016256.0,7975493.0,15886000.0,16680300.0
er8,2023-11-10 18:50:16,gdata,164446136770560.0,219902325555200.0,230897441832960.0,17622242.0,20186000.0,21195300.0
tp28,2023-11-10 18:50:16,gdata,1095664267182080.0,1176477441720320.0,1235301313806336.0,23883265.0,58611000.0,61541550.0
dk92,2023-11-10 18:50:16,gdata,901941559296.0,2199023255552.0,2308974417920.0,3366562.0,3500000.0,3675000.0
hr22,2023-11-10 18:50:16,gdata,5537632256.0,137438953472.0,144310900736.0,235815.0,500000.0,525000.0
hd50,2023-11-10 18:50:16,gdata,304361733124096.0,319957883682816.0,335955777866752.0,9910595.0,21614000.0,22694700.0
vx53,2023-11-10 18:50:16,gdata,56955416576.0,1099511627776.0,1154487208960.0,401780.0,1500000.0,1575000.0
hh5,2023-11-10 18:51:24,scratch,2726236160.0,77309411328.0,81174881280.0,1651.0,164000.0,172200.0
ig2,2023-11-10 18:51:24,scratch,4096.0,1049600.0,1101824.0,1.0,1025.0,1076.0
dp9,2023-11-10 18:51:24,scratch,1013924048269312.0,1319413953331200.0,1320513464958976.0,31673137.0,60095000.0,63099750.0
qa11,2023-11-10 18:51:24,scratch,57344.0,1073741824.0,1127428096.0,14.0,1025.0,1076.0
dx2,2023-11-10 18:51:24,scratch,268729607655424.0,296868139499520.0,297967651127296.0,4784077.0,16066000.0,16869300.0
er4,2023-11-10 18:51:24,scratch,16989106274304.0,131941395333120.0,138538465099776.0,1189725.0,7954000.0,8351700.0
er8,2023-11-10 18:51:24,scratch,169711255441408.0,274877906944000.0,288621802291200.0,3616924.0,15022000.0,15773100.0
tp28,2023-11-10 18:51:24,scratch,140061017837568.0,219902325555200.0,221001837182976.0,2922931.0,12369000.0,12987450.0
dk92,2023-11-10 18:51:24,scratch,462848.0,77309411328.0,81174881280.0,113.0,164000.0,172200.0
hr22,2023-11-10 18:51:24,scratch,1961984.0,0.0,0.0,1190.0,0.0,0.0
vp91,2023-11-10 18:51:24,scratch,2367344762880.0,5497558138880.0,5772436045824.0,643288.0,10485760.0,11010048.0
hd50,2023-11-10 18:51:24,scratch,156210756657152.0,219902325555200.0,221001837182976.0,3966569.0,12369000.0,12987450.0
access,2023-11-10 18:51:24,gdata,29481043673088.0,38482906972160.0,40407052320768.0,1708555.0,2806000.0,2946300.0
hh5,2023-11-10 18:51:24,gdata,691784799870976.0,753165465026560.0,790823738277888.0,11219756.0,36476000.0,38299800.0
ig2,2023-11-10 18:51:24,gdata,158677610823680.0,230897441832960.0,242442313924608.0,2248507.0,12905000.0,13550250.0
dp9,2023-11-10 18:51:24,gdata,356168927834112.0,469491465060352.0,492966038312960.0,33156581.0,38500000.0,40425000.0
qa11,2023-11-10 18:51:24,gdata,3377637810176.0,5497558138880.0,5772436045824.0,1071245.0,1500000.0,1575000.0
dx2,2023-11-10 18:51:24,gdata,311551971565568.0,346346162749440.0,363663470886912.0,9757366.0,15022000.0,15773100.0
er4,2023-11-10 18:51:24,gdata,121427698520064.0,241892558110720.0,253987186016256.0,7975493.0,15886000.0,16680300.0
er8,2023-11-10 18:51:24,gdata,164446156111872.0,219902325555200.0,230897441832960.0,17622244.0,20186000.0,21195300.0
tp28,2023-11-10 18:51:24,gdata,1095666435260416.0,1176477441720320.0,1235301313806336.0,23883503.0,58611000.0,61541550.0
dk92,2023-11-10 18:51:24,gdata,901941559296.0,2199023255552.0,2308974417920.0,3366562.0,3500000.0,3675000.0
hr22,2023-11-10 18:51:24,gdata,5537632256.0,137438953472.0,144310900736.0,235815.0,500000.0,525000.0
hd50,2023-11-10 18:51:24,gdata,304361736683520.0,319957883682816.0,335955777866752.0,9911304.0,21614000.0,22694700.0
vx53,2023-11-10 18:51:24,gdata,56955416576.0,1099511627776.0,1154487208960.0,401780.0,1500000.0,1575000.0
hh5,2023-11-10 18:54:07,scratch,2726236160.0,77309411328.0,81174881280.0,1651.0,164000.0,172200.0
ig2,2023-11-10 18:54:07,scratch,4096.0,1049600.0,1101824.0,1.0,1025.0,1076.0
dp9,2023-11-10 18:54:07,scratch,1014373418565632.0,1319413953331200.0,1320513464958976.0,31674345.0,60095000.0,63099750.0
qa11,2023-11-10 18:54:07,scratch,57344.0,1073741824.0,1127428096.0,14.0,1025.0,1076.0
dx2,2023-11-10 18:54:07,scratch,268755102085120.0,296868139499520.0,297967651127296.0,4784107.0,16066000.0,16869300.0
er4,2023-11-10 18:54:07,scratch,16989106274304.0,131941395333120.0,138538465099776.0,1189725.0,7954000.0,8351700.0
er8,2023-11-10 18:54:07,scratch,169723902631936.0,274877906944000.0,288621802291200.0,3616956.0,15022000.0,15773100.0
tp28,2023-11-10 18:54:07,scratch,140067791667200.0,219902325555200.0,221001837182976.0,2922953.0,12369000.0,12987450.0
dk92,2023-11-10 18:54:07,scratch,462848.0,77309411328.0,81174881280.0,113.0,164000.0,172200.0
hr22,2023-11-10 18:54:07,scratch,1961984.0,0.0,0.0,1190.0,0.0,0.0
vp91,2023-11-10 18:54:07,scratch,2367344762880.0,5497558138880.0,5772436045824.0,643288.0,10485760.0,11010048.0
hd50,2023-11-10 18:54:07,scratch,156412531879936.0,219902325555200.0,221001837182976.0,3968712.0,12369000.0,12987450.0
access,2023-11-10 18:54:07,gdata,29481043673088.0,38482906972160.0,40407052320768.0,1708555.0,2806000.0,2946300.0
hh5,2023-11-10 18:54:07,gdata,691784799870976.0,753165465026560.0,790823738277888.0,11219756.0,36476000.0,38299800.0
ig2,2023-11-10 18:54:07,gdata,158678486466560.0,230897441832960.0,242442313924608.0,2248508.0,12905000.0,13550250.0
dp9,2023-11-10 18:54:07,gdata,356169113681920.0,469491465060352.0,492966038312960.0,33156582.0,38500000.0,40425000.0
qa11,2023-11-10 18:54:07,gdata,3377637810176.0,5497558138880.0,5772436045824.0,1071245.0,1500000.0,1575000.0
dx2,2023-11-10 18:54:07,gdata,311551971565568.0,346346162749440.0,363663470886912.0,9757366.0,15022000.0,15773100.0
er4,2023-11-10 18:54:07,gdata,121427698520064.0,241892558110720.0,253987186016256.0,7975493.0,15886000.0,16680300.0
er8,2023-11-10 18:54:07,gdata,164446452469760.0,219902325555200.0,230897441832960.0,17622253.0,20186000.0,21195300.0
tp28,2023-11-10 18:54:07,gdata,1095677196746752.0,1176477441720320.0,1235301313806336.0,23884038.0,58611000.0,61541550.0
dk92,2023-11-10 18:54:07,gdata,901941559296.0,2199023255552.0,2308974417920.0,3366562.0,3500000.0,3675000.0
hr22,2023-11-10 18:54:07,gdata,5537632256.0,137438953472.0,144310900736.0,235815.0,500000.0,525000.0
